dataset,source_dataset,preprocessing_variant,auto_invert,sample_id,image_key,image_path,relative_image_path,group,writer_id,set_id,line_id,reference_source,reference,gt_status,split,difficulty,difficulty_group,sex,birth_year
polish_forms_test,polish_forms,native,False,014_p01_A_l01,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l01.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l01.png,nie,014_p01,A,1,polish_forms_manifest,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l02,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l02.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l02.png,nie,014_p01,A,2,polish_forms_manifest,"Mężny bądź, chroń pułk twój i sześć flag",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l03,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l03.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l03.png,nie,014_p01,A,3,polish_forms_manifest,Pchnąć w tę łódź jeża lub ośm skrzyń.,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l04,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l04.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l04.png,nie,014_p01,A,4,polish_forms_manifest,"„Bywam, a może nie bywam? Oto jest pytanie!”",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l05,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l05.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l05.png,nie,014_p01,A,5,polish_forms_manifest,Stary zegar w wieży wybił właśnie godzinę dziewiątą,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l06,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l06.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l06.png,nie,014_p01,A,6,polish_forms_manifest,Miecz. Na plecach. Dlaczego masz na plecach miecz?,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l07,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l07.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l07.png,nie,014_p01,A,7,polish_forms_manifest,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,014_p01_A_l08,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l08.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\014_p01_A_l08.png,nie,014_p01,A,8,polish_forms_manifest,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l01,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l01.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l01.png,nie,019_p01,A,1,polish_forms_manifest,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l02,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l02.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l02.png,nie,019_p01,A,2,polish_forms_manifest,"Mężny bądź, chroń pułk twój i sześć flag.",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l03,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l03.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l03.png,nie,019_p01,A,3,polish_forms_manifest,Pchnąć w tę łódź jeża lub ośm skrzyń.,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l04,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l04.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l04.png,nie,019_p01,A,4,polish_forms_manifest,"„Bywam, a może nie bywam? Oto jest pytanie!”",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l05,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l05.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l05.png,nie,019_p01,A,5,polish_forms_manifest,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l06,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l06.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l06.png,nie,019_p01,A,6,polish_forms_manifest,Miecz. Na plecach. Dlaczego masz na plecach miecz?,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l07,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l07.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l07.png,nie,019_p01,A,7,polish_forms_manifest,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,019_p01_A_l08,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l08.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\019_p01_A_l08.png,nie,019_p01,A,8,polish_forms_manifest,UWAGA: SYSTEM WYMAGA AKTUALIZACJI,ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,020_p01_A_l01,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l01.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l01.png,nie,020_p01,A,1,polish_forms_manifest,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",ok,test,nie,nie,mezczyzna,2010.0
polish_forms_test,polish_forms,native,False,020_p01_A_l02,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l02.png,Formularze\processed_320_check\dataset\test\nie\mezczyzna\year_2010.0\020_p01_A_l02.png,nie,020_p01,A,2,polish_forms_manifest,"Mężny bądź, chroń pułk twój i sześć flag",ok,test,nie,nie,mezczyzna,2010.0
